nodeType,longName,shortName
HALL,Lobby Hallway 3,Hallway F02501
HALL,Lobby Hallway 4,Hallway F02601
HALL,Lobby Hallway 7,Hallway F02701
HALL,Lobby Hallway 5,Hallway F02701
HALL,Lobby Hallway 6,Hallway F02801
HALL,Tower Hallway 13,Hallway F03201
HALL,Emergency Hallway,Hallway F03301
HALL,Hallway Connector 1 Floor 2,Hallway H00102
HALL,Hallway Connector 1 Floor 3,Hallway H00103
HALL,Hallway Connector 2 Floor 2,Hallway H00202
HALL,Hallway Connector 2 Floor 3,Hallway H00203
HALL,Hallway Connector 3 Floor 2,Hallway H00302
HALL,Hallway Connector 3 Floor 3,Hallway H00303
HALL,Hallway Connector 4 Floor 2,Hallway H00402
HALL,Hallway Connector 4 Floor 3,Hallway H00403
HALL,Hallway Connector 5 Floor 2,Hallway H00502
HALL,Hallway Connector 5 Floor 3,Hallway H00502
HALL,Hallway Connector 6 Floor 2,Hallway H00602
HALL,Hallway Connector 6 Floor 3,Hallway H00603
HALL,Hallway Connector 7 Floor 2,Hallway H00702
HALL,Hallway Connector 7 Floor 3,Hallway H00703
HALL,Hallway Connector 8 Floor 2,Hallway H00802
HALL,Hallway Connector 8 Floor 3,Hallway H00803
HALL,Hallway Connector 9 Floor 2,Hallway H00902
HALL,Hallway Connector 9 Floor 3,Hallway H00903
HALL,Hallway Connector 10 Floor 2,Hallway H01002
HALL,Hallway Connector 10 Floor 3,Hallway H01003
HALL,Hallway Connector 11 Floor 3,Hallway H01103
HALL,Hallway Connector 12 Floor 3,Hallway H01203
HALL,Hallway Connector 13 Floor 3,Hallway H01303
HALL,Hallway Connector 14 Floor 3,Hallway H01403
HALL,Hallway Connector 15 Floor 3,Hallway H01503
HALL,Hallway Connector 1 Floor 1,Hallway W0101
HALL,Hallway Connector 1 Floor L2,Hallway W01L2
HALL,Hallway Connector 2 Floor 1,Hallway W0201
HALL,Hallway Connector 2 Floor L2,Hallway W02L2
HALL,Lobby Entrance Hallway,HallwayF02801
REST,Restroom Node 31 Floor 2,Handicap Accessible Restrooms Shapiro Floor 2
INFO,Information Desk Level 2,INFO B0102
INFO,Valet Service Level 2,INFO B0202
INFO,Info Node 19 Floor 2,Information Center Shapiro Floor 2
INFO,15 Francis Security Desk Floor 2,Information Desk
LABS,Innovation Hub,Innovation Hub
DEPT,International Patient Center,IPC
SERV,Kessler Library,Kessler Library
STAI,Stairs MapNode 8 Floor L1,L1 Stairs
LABS,Outpatient Fluoroscopy Floor L1,Lab C001L1
LABS,Radiation Oncology TX Suite Floor L2,Lab C001L2
LABS,Pre-Op PACU Floor L1,Lab C002L1
LABS,Radiation Oncology Floor L2,Lab C002L2
LABS,Nuclear Medicine Floor L1,Lab C003L1
LABS,Ultrasound Floor L1,Lab C004L1
LABS,CSIR MRI Floor L1,Lab C005L1
LABS,Vascular Diagnostic Lab,Labs B0102
LABS,Outpatient Specimen Collection,Labs B0202
SERV,Shattuck Street Lobby ATM,Lobby ATM
STAI,Lobby Escalator,Lobby Escalator
INFO,75 Lobby Information Desk,Lobby Info Desk
DEPT,MICU 3BC Waiting Room,MICU 3BC WR
LABS,MRI Associates Floor 2,MRI Associates
LABS,MRI CT Scan Imaging,MRI CT Imaging
DEPT,MS Waiting,MS Waiting
DEPT,Neuroscience Waiting Room,Neuro Waiting Room
STAI,Stairway MapNode 5 Floor 1,Northbound Stairs Floor 2
SERV,Nursing Room,Nursing Room
LABS,Obstetrics Admitting,Obs Admitting
DEPT,Ocupational Health Floor 1,Ocupational 1
DEPT,Orthopedics and Rhemutalogy,Orthopedics and Rhemutalogy
EXIT,Parking Garage L2,Parking Garage L2
RETL,Pats Place Floor 2,Pats Place
REST,Restroom 1 - Family,R1
REST,Restroom 2,R2
REST,Restroom 3,R3
REST,Restroom 4 - M wheelchair,R4
REST,Restroom 5 - F wheelchair,R5
DEPT,Rehabilitation Services Floor 1,Rehab 1
LABS,Reproductive Endocrine Labs,Reproductive Endocrine Labs
REST,Restroom 1 Level 2,REST B0102
REST,Restroom 2 Level 2,REST B0202
REST,Restroom 3 Level 2,REST B0302
REST,Restroom 4 Level 2,REST B0402
REST,Restroom 5 Level 2,REST B0502
REST,Restroom S elevator 1st floor,Restroom
REST,Restroom BTM conference center 3rd floor,Restroom
REST,Restroom Node 6 Floor 2,Restroom 1 Shapiro Floor 2
REST,Restroom B elevator Floor 2,Restroom B
REST,Restroom C elevator Floor 2,Restroom C
REST,Restroom L Elevator Floor L1,Restroom C001L1
REST,Restroom K Elevator Floor L2,Restroom C001L2
REST,Restroom M Elevator Floor L1,Restroom C002L1
REST,Restroom L Elevator Floor L2,Restroom C002L2
REST,Restroom K Elevator Floor L1,Restroom C003L1
REST,Restroom H Elevator Floor L1,Restroom C004L1
REST,Restroom C-D elevator Floor 2,Restroom C-D
REST,Restroom D elevator Floor 2,Restroom D
REST,Restroom F1 Floor 1,Restroom F1
REST,Restroom G1 Floor 1,Restroom G1
REST,Restroom H1 Floor 1,Restroom H1
REST,Bathroom MapNode 12 Floor 1,Restroom Shapiro Floor 1
REST,Restroom Node 12 Floor 3,Restroom Shapiro Floor 3
REST,Restroom MapNode 4 Floor L2,Restroom Shapiro L2
RETL,Vending Machine 1 L1,Retail C001L1
DEPT,Spiritual Care Office,SCO
REST,Random Room MapNode 35 Floor 1,Secret Room Floor 1
INFO,BTM Security Desk,Security
INFO,Connors Center Security Desk Floor 1,Security 1
INFO,Security Desk Thorn Floor 2,Security Desk
SERV,Patient Financial Services,SERV B0102
SERV,Volunteers Floor L1,Service C001L1
SERV,Interpreter Services Floor L2,Service C001L2
CONF,Shapiro Board Room MapNode 20 Floor 1,Shapiro Board Room
DEPT,Sharf Admitting Center,Sharf Center
EXIT,Shattuck Street Lobby Exit,Shattuck St. Exit
STAI,Staircase MapNode 13 Floor 1,Southbound Stairs Floor 1
STAI,Staircase Intersection 1 Level 2,Stair B0102
STAI,Staircase Intersection 2 Level 2,Stair B0202
STAI,Staircase Intersection 3 Level 2,Stair B0302
STAI,Staircase Intersection 5 Level 2,Stair B0502
STAI,Staircase Intersection 6 Level 2,Stair B0602
STAI,Staircase Intersection 7 Level 2,Stair B0702
STAI,Staircase Intersection 8 Level 2,Stair B0802
STAI,Staircase Intersection 9 Level 2,Stair B0902
