longname, locationtype, shortname
Hallway 48 Floor 2,HALL,Hallway D4802
Hallway 49 Floor 2,HALL,Hallway D4902
Hallway 50 Floor 2,HALL,Hallway D5002
Hallway 51 Floor 2,HALL,Hallway D5102
Hallway 52 Floor 2,HALL,Hallway D5202
Hallway 53 Floor 2,HALL,Hallway D5302
Hallway 54 Floor 2,HALL,Hallway D5402
Hallway 55 Floor 2,HALL,Hallway D5502
Hallway 56 Floor 2,HALL,Hallway D5602
Hallway 57 Floor 2,HALL,Hallway D5702
Hallway 58 Floor 2,HALL,Hallway D5802
Lower Pike Hallway Exit Lobby,HALL,Hallway F00101
Lobby Shattuck Street,HALL,Hallway F00201
Shattuck Street Lobby 1,HALL,Hallway F00301
Shattuck Street Lobby 2,HALL,Hallway F00401
Shattuck Street Lobby 3,HALL,Hallway F00501
Tower Elevator Entrance,HALL,Hallway F00701
Tower Hallway 1,HALL,Hallway F00801
Tower Hallway 2,HALL,Hallway F00901
Tower Hallway 3,HALL,Hallway F01001
Tower Hallway 4,HALL,Hallway F01101
Tower Staff Entrance,HALL,Hallway F01201
Tower Hallway 5,HALL,Hallway F01301
Tower Hallway 6,HALL,Hallway F01401
Tower Hallway 7,HALL,Hallway F01501
Tower Hallway 8,HALL,Hallway F01601
Tower Hallway 9,HALL,Hallway F01701
Tower Hallway 10,HALL,Hallway F01801
Tower Hallway 11,HALL,Hallway F01901
Tower Hallway 12,HALL,Hallway F02001
Lobby Hallway 1,HALL,Hallway F02301
Lobby Hallway 2,HALL,Hallway F02401
Lobby Hallway 3,HALL,Hallway F02501
Lobby Hallway 4,HALL,Hallway F02601
Lobby Hallway 7,HALL,Hallway F02701
Lobby Hallway 5,HALL,Hallway F02701
Lobby Hallway 6,HALL,Hallway F02801
Tower Hallway 13,HALL,Hallway F03201
Emergency Hallway,HALL,Hallway F03301
Hallway Connector 1 Floor 2,HALL,Hallway H00102
Hallway Connector 1 Floor 3,HALL,Hallway H00103
Hallway Connector 2 Floor 2,HALL,Hallway H00202
Hallway Connector 2 Floor 3,HALL,Hallway H00203
Hallway Connector 3 Floor 2,HALL,Hallway H00302
Hallway Connector 3 Floor 3,HALL,Hallway H00303
Hallway Connector 4 Floor 2,HALL,Hallway H00402
Hallway Connector 4 Floor 3,HALL,Hallway H00403
Hallway Connector 5 Floor 2,HALL,Hallway H00502
Hallway Connector 5 Floor 3,HALL,Hallway H00502
